iso3,country,layer1,accessibility,final_score,rank_l1,rank_final,rank_shift
USA,United States,95.0,1.0,95.0,1,1,0
DEU,Germany,80.2,1.0,80.2,2,2,0
GBR,United Kingdom,75.9,1.0,75.9,3,3,0
FRA,France,73.1,1.0,73.1,6,4,2
CAN,Canada,72.8,1.0,72.8,7,5,2
NLD,Netherlands,69.9,1.0,69.9,8,6,2
ESP,Spain,65.3,1.0,65.3,11,7,4
JPN,Japan,75.0,0.85,63.8,4,8,-4
AUS,Australia,69.0,0.765,52.8,9,9,0
KOR,South Korea,69.0,0.765,52.8,9,9,0
POL,Poland,55.6,0.9,50.0,14,11,3
ISR,Israel,55.3,0.765,42.3,15,12,3
TUR,Turkey,47.0,0.8,37.6,18,13,5
SAU,Saudi Arabia,57.2,0.48,27.5,12,14,-2
ARE,United Arab Emirates,56.4,0.48,27.1,13,15,-2
QAT,Qatar,48.6,0.54,26.2,17,16,1
IND,India,52.9,0.48,25.4,16,17,-1
BRA,Brazil,45.9,0.48,22.0,19,18,1
IDN,Indonesia,41.4,0.48,19.9,20,19,1
VNM,Vietnam,34.9,0.4,14.0,22,20,2
EGY,Egypt,21.9,0.4,8.8,23,21,2
DZA,Algeria,18.1,0.4,7.2,24,22,2
CHN,China,74.4,0.06,4.5,5,23,-18
PAK,Pakistan,6.6,0.4,2.6,25,24,1
RUS,Russia,35.9,0.0,0.0,21,25,-4
