iso3,military_expenditure,aero_imports_hs88,lpi,industrial_base,gdp,gdp_per_capita,air_traffic,business_ready,country_risk
USA,1.0,1.0,0.8214285714285715,0.8883140065758857,1.0,1.0,1.0,0.8674724729882889,1.0
GBR,0.6000390493942684,0.8674031021943966,0.7619047619047622,0.5047781150136398,0.5782139954131408,0.8820047203812622,0.5760472342873858,0.924359468507969,1.0
FRA,0.5428112946644156,0.8591250626700714,0.880952380952381,0.5093954932926318,0.5463488235857433,0.8461265916876752,0.45109446666977676,0.793532970850329,1.0
DEU,0.5931363884788023,0.843983264765662,1.0,0.6935769127129174,0.6265707956901522,0.8944268139468143,0.4952777171822431,0.9196378390287064,1.0
POL,0.44137929141508037,0.6142568216326637,0.7023809523809526,0.38064484619281647,0.29444092130502203,0.6965754450144429,0.0420404308414127,0.6285803892518768,1.0
AUS,0.4402793271361917,0.6498293532212438,0.7619047619047622,0.30061065185972674,0.4267449796060566,0.9291573250943831,0.4643322446813158,1.0,1.0
JPN,0.516526451376871,0.7309539767395773,0.880952380952381,0.6814179239270698,0.6037966995785803,0.7697346768776486,0.5783770411855312,0.8592830642709516,1.0
KOR,0.49489898068109645,0.684549429627228,0.8214285714285715,0.5993856115357661,0.44002669807676453,0.7868951373125602,0.48498941792801026,0.746059849973719,1.0
CAN,0.4218006788059868,0.7978627776929976,0.9404761904761907,0.43982952112952006,0.4789372605356927,0.889608755878244,0.5157322161606311,0.8709567361106433,1.0
ESP,0.38954800683808954,0.6824995005633117,0.880952380952381,0.4233027922288937,0.4230771060703127,0.7806252013048287,0.5280354723938132,0.6052888757718579,1.0
NLD,0.37852667563230225,0.6327831765586204,1.0,0.3469934164794403,0.35141803224254403,0.9397966010257125,0.3599588103537505,0.9998231924238347,1.0
IND,0.5920732834796131,0.8084570220748709,0.5833333333333334,0.5975612414462609,0.5817809199077427,0.13795539941826357,0.66141606718785,0.3483884351361304,0.5714285714285714
SAU,0.5815563041158812,0.557078301294948,0.5833333333333334,0.43699076569072226,0.3580558355968978,0.7820211746856011,0.39000314906787015,0.6373319700922138,0.7142857142857143
ARE,,,0.9404761904761907,0.1926885426916598,0.19098909296624383,0.8674319799780259,0.5213078561588758,0.7862101844317311,0.7142857142857143
QAT,,0.49629766822314014,0.642857142857143,0.0,0.0,0.968081452895653,0.3406698997000992,0.729096678841329,0.7142857142857143
ISR,0.48893717867935166,0.40994109857162975,0.7023809523809526,0.2220186741011242,0.1872516513134138,0.8860086665357504,0.006328368133003849,0.7819671967836073,1.0
TUR,0.38830985864504125,0.6937440764558238,0.5833333333333334,0.4594615086249467,0.374432996140238,0.584105401376459,0.5877560930784221,0.30711852242474785,0.2857142857142857
BRA,0.3590655492493791,0.6832853980921727,0.4642857142857145,0.48554645421292414,0.47123214069160063,0.47765205983005554,0.5308405234631913,0.2772679997207773,0.42857142857142855
EGY,0.0,0.5055642791663825,0.40476190476190493,0.2004258494443413,0.11960402987883058,0.2002211456344616,0.17339273501801628,0.20383200857850006,0.14285714285714285
IDN,0.26683864306116484,0.42708638723725606,0.34523809523809534,0.4857858574921159,0.379930850966508,0.2959000240617897,0.5343487963991278,0.42750742455648677,0.5714285714285714
CHN,0.8062283773184513,0.8446785183124705,0.7619047619047622,1.0,0.9088522632203597,0.5401617740167511,0.9141217869511092,0.3572679810868212,0.7142857142857143
RUS,0.6843230483299899,,0.10714285714285726,0.5019250267976446,0.4712918424784109,0.5692567961754171,0.5381704712432842,0.0,0.0
PAK,0.24142263696385882,0.0,0.0,0.18235294116734052,0.11033065734470306,0.0,0.0,0.09871682277860665,0.0
VNM,0.21130648419148976,,0.5238095238095238,0.33732173887478845,0.1608306016637865,0.28524419807991747,0.4184122287018338,0.2872057393731623,0.5714285714285714
DZA,0.365630151144661,0.36145638010663655,0.04761904761904767,0.0653328047110556,0.04466982119957453,0.3341094046397977,0.00020739159086856213,0.1131070745821228,0.2857142857142857
