iso3,military_expenditure,aero_imports_hs88,lpi,industrial_base,gdp,gdp_per_capita,air_traffic,business_ready,country_risk
USA,1004901.0,35911934667.0,3.8,2497131582000.0,29298013000000.0,86169.6641581917,941557000.0,1.3524886,7
GBR,89814.56586193603,14474123394.808,3.7,294663475863.889,3695539513534.15,53341.3131094262,118945920.0,1.5112377,7
FRA,63574.699212500054,13675853585.478,3.9,302342959906.641,3160442622465.08,46103.0840855884,64644716.0,1.1461527,7
DEU,86148.2850785157,12327871360.381,4.1,843720987292.969,4685592577804.69,56103.7323182554,80199572.0,1.4980615,7
POL,34459.54941866553,2553618876.0,3.6,147549351678.251,917767106146.761,25103.565661423,8782362.0,0.6858352999999999,7
AUS,34231.448067172016,3258593390.797,3.7,94463332988.051,1757022451652.83,64609.9865116088,68958577.0,1.7223205,7
JPN,54245.06955499921,5681727502.526,3.9,788452296563.8,4190008188358.57,33797.1014287876,120305972.0,1.3296352,7
KOR,47604.58421197396,4133968021.0,3.8,499190318144.311,1875388209406.8,36238.639908315,76272453.877,1.013674,7
CAN,30617.562312508773,8987113988.693,4.0,205190749695.971,2270076189683.46,55015.7066917734,88618000.0,1.3622117999999999,7
ESP,25199.837644766747,4076298075.242,3.9,187139253525.0,1725671652742.19,35326.7683069278,94101520.461,0.6208378999999999,7
NLD,23577.49375078127,2899317950.508,4.1,122321981534.375,1213936238063.28,67465.3208126875,41436802.2,1.7218270999999998,7
IND,85597.0831191097,9663885387.259,3.4,494141553765.715,3760813470500.86,2591.9916607122,180415784.228,-0.09606959999999999,4
SAU,80330.66666666666,1725743897.923,3.4,201970666666.667,1254140800000.0,35527.786181866,47979994.0,0.7102575,5
ARE,,,4.0,51773020762.1122,552324919095.872,50273.5126243239,91062293.0,1.1257177,5
QAT,,1137825568.407,3.5,17693681318.6813,216294505494.505,75685.0865779973,37714348.363,0.9663364999999999,5
ISR,45921.46720991868,629584000.0,3.6,60964810946.6201,542284494490.778,54216.5218142787,7377778.0,1.1138772,7
TUR,25012.152848366193,4402841264.0,3.4,228910150844.692,1359123768774.12,15892.7157287241,125940241.0,-0.2112376,2
BRA,20963.641605747773,4098311749.0,3.2,264720626042.066,2185821610689.31,10310.5486973693,95398485.0,-0.2945386,3
EGY,2398.424389272584,1212427532.333,3.1,54053889005.3826,389059910593.1,3338.47371043679,16672111.302,-0.49946939999999995,1
IDN,12012.3945130024,708081090.0,3.0,265073987434.714,1396301788461.69,4925.43644992666,97045784.754,0.12472019999999999,4
CHN,311900.3506008155,12386749892.0,3.7,4652746352861.02,18729668435848.0,13293.1162269366,619215886.0,-0.0712903,5
RUS,149401.8739654511,,2.6,290016124335.697,2186462268813.08,14961.8974609375,98872628.0,-1.0682839,0
PAK,10303.47699398378,37927217.746,2.42,48875641908.2184,371747087751.306,1479.47755241191,7153419.0,-0.7928043,0
VNM,8590.398540747652,,3.3,115904447328.948,476324572783.807,4716.6599379632,55114832.0,-0.2668063,4
DZA,21811.242555031273,451595084.0,2.5,25463405055.1347,269322281664.773,5752.99076651465,7160662.35,-0.7526468,2
